Município,Código,Gentílico,Prefeito [2017],Área Territorial - km2 [2020],População estimada - pessoas [2021],Densidade demográfica - hab/km2 [2010],Escolarização 6 a 14 anos % [2010],IDHM Índice de desenvolvimento humano municipal [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2019],Receitas realizadas - R$ (X1000) [2017],Despesas empenhadas - R$ (X1000) [2017],PIB per capita - R$ [2018],
Camocim,2302602,camocimense,MARIA ELIZABETE MAGALHAES,1120.452,64147,53.48,97.8,0.620,15.78,184054.11674,163720.78207,9005.04,
Campos Sales,2302701,campos-salense,JOÃO LUIZ LIMA SANTOS,1082.582,27513,24.48,98.3,0.630,19.05,72422.3074,64018.70805,6896.85,
Canindé,2302800,canindeense,MARIA DO ROSÁRIO ARAÚJO PEDROSA XIMENES,3032.390,77484,23.14,97.5,0.612,11.47,208998.68705,198932.36748,8106.88,
Capistrano,2302909,capistranense,ANTONIO SOARES SARAIVA JUNIOR,226.549,17830,76.67,96.3,0.611,20,44410.43366,47389.11605,9827.07,
Caridade,2303006,caridadense,MARIA AMANDA LOPES COSTA,926.271,23011,23.65,97.3,0.592,10.83,42361.98869,44059.92572,5631.24,
Cariré,2303105,carireense,ANTONIO RUFINO MARTINS,755.597,18470,24.24,97.9,0.596,4.1,51159.84298,45628.31527,8062.68,
Caririaçu,2303204,caririaçuense,JOSÉ EDMILSON LEITE BARBOSA,634.179,27008,42.33,96.1,0.578,15.28,59523.756,55442.10147,7476.01,
Cariús,2303303,cariuense,ANTONIO WILAMAR PALACIO DE OLIVEIRA,1036.417,18700,17.49,97.1,0.597,9.85,43117.00843,38533.8984,7267.16,
Carnaubal,2303402,carnaubalense,JOSE WELITON SOUZA LEITE,363.220,17763,45.90,97.1,0.593,11.28,44400.99881,39292.32944,6609.89,
Cascavel,2303501,cascavelense,TIAGO LUTIANI OLIVEIRA RIBEIRO,838.115,72706,78.99,96.7,0.646,12.09,157576.13841,146954.71201,10317.32,
Catarina,2303600,catarinense,THIAGO PAES DE ANDRADE RODRIGUES,488.153,21041,38.50,94.3,0.618,32.97,48412.85619,40082.53852,5797.02,
Catunda,2303659,catundense,RAVENNA FERNANDES GOMES MESQUITA LIMA,784.022,10410,12.59,98.7,0.609,9.01,30300.18724,29143.06431,7723.10,
Caucaia,2303709,caucaiense,VITOR PEREIRA VALIM,1223.246,368918,264.91,96.3,0.682,12.91,629854.17239,567292.53099,13944.16,
Cedro,2303808,cedrense,JOÃO BATISTA DINIZ,729.970,25612,33.79,97.5,0.627,12.54,73911.85398,51532.51825,7130.37,
Chaval,2303907,chavalense,SEBASTIÃO SOTERO VERAS,237.248,13112,52.95,97.4,0.586,4.93,28808.14599,30309.62554,6202.22,
Choró,2303931,choroense,MARCONDES DE HOLANDA JUCÁ,815.268,13608,15.76,97.2,0.585,11.9,39483.61716,32665.65548,5914.35,
Chorozinho,2303956,chorozinhense,FRANCISCO DE CASTRO MENEZES JÚNIOR,296.431,20286,67.94,97.4,0.604,9.62,53830.39622,47230.75267,18237.69,
Coreaú,2304004,coreauense,JOSE EDEZIO VAZ DE SOUZA,750.332,23340,28.30,97.5,0.610,9.9,51937.11674,47475.59126,6233.80,
Crateús,2304103,crateuense,MARCELO FERREIRA MACHADO,2981.459,75241,24.39,97.5,0.644,19.09,140243.49492,139963.52378,9105.67,
Crato,2304202,cratense,JOSÉ AILTON DE SOUSA BRASIL,1138.150,133913,103.21,97.8,0.713,18.08,263007.65557,226354.59361,10262.41,
Croatá,2304236,croataense,RONILSON FRANCISCO DE OLIVEIRA,696.348,18201,24.49,97.4,0.590,18.87,44431.21556,43136.46883,7696.46,
Cruz,2304251,cruzense,JOÃO MUNIZ SOBRINHO,335.921,25121,68.13,98.5,0.632,4.02,66832.45706,53862.87242,8946.00,
Deputado Irapuan Pinheiro,2304269,irapuense,FRANCISCO GILDECARLOS PINHEIRO,471.134,9698,19.33,99.3,0.609,11.49,28587.71263,24445.95004,6413.75,
Ereré,2304277,erereense,FRANCISCO OTONI DE QUEIROZ MOURA,362.906,7254,17.87,98,0.610,117.65,20139.95203,19068.06015,6983.79,
Eusébio,2304285,eusebiano,ACILON GONÇALVES PINTO JUNIOR,78.818,55035,582.66,98.3,0.701,15.47,281098.31547,251597.09476,46830.08,
Farias Brito,2304301,farias-britense,FRANCISCO AUSTRAGEZIO SALES,530.540,19330,37.74,99.3,0.633,11.24,51471.39926,44726.55491,8195.13,
Forquilha,2304350,forquilhense,EDINARDO RODRIGUES FILHO,568.778,24680,42.14,96.4,0.644,12.23,59852.25615,55357.41569,7698.67,
Fortaleza,2304400,fortalezense,JOSÉ SARTO NOGUEIRA MOREIRA,312.353,2703391,7786.44,96.1,0.754,11.67,6810527.06948,6525657.82435,25356.73,
Fortim,2304459,fortinense,NASELMO DE SOUSA FERREIRA,285.024,16776,53.15,97.5,0.624,10.15,46215.46717,41449.76087,9806.29,
Frecheirinha,2304509,frecheirinhense,HELTON LUIS AGUIAR JUNIOR,210.284,14195,71.68,97.8,0.604,22.81,44426.33149,38675.59321,18393.96,
General Sampaio,2304608,sampaiense,FRANCISCO CORDEIRO MOREIRA,230.371,7767,30.21,96.2,0.568,9.17,24583.97795,25385.03992,8336.85,
Graça,2304657,gracense,MARIA IRALDICE DE ALCÂNTARA,258.942,14415,53.39,99.1,0.570,5.88,50466.39062,45677.84743,6616.29,
Granja,2304707,granjense,JULIANA FROTA LOPES DE ALDIGUERI ARRUDA,2663.174,55170,19.52,94.7,0.559,9.85,107204.79999,106091.78735,6692.40,
Granjeiro,2304806,granjeirense,FRANCISCO CLEMENTINO DE ALMEIDA,111.528,4784,46.23,98.8,0.585,-,16.63519,16804.48543,9503.61,
Groaíras,2304905,groairense,ADAIL ALBUQUERQUE MELO,155.681,11219,65.59,97.9,0.633,6.1,30387.53255,28903.84396,7025.19,
Guaiúba,2304954,guaiubano,IZABELLA MARIA FERNANDES DA SILVA,256.053,26508,90.19,94.2,0.617,11.94,55147.27488,51598.99584,7684.11,
Guaraciaba do Norte,2305001,guaraciabense,ANTONIO ADAIL MACHADO CASTRO,624.606,40921,61.78,97.7,0.609,18.76,105405.88413,90370.30516,11978.47,
