MUNICIPIO;NATUREZA DO FATO;ARMA UTILIZADA;SEXO;IDADE;DATA
QUIXERE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;29;2019-01-18
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2019-01-18
JUAZEIRO DO NORTE;HOMICIDIO DOLOSO;OUTROS;M;33;2019-01-19
GENERAL SAMPAIO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2019-01-19
FORTIM;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2019-01-19
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2019-01-19
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;F;22;2019-01-19
JUAZEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2019-01-19
IGUATU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;45;2019-01-20
CAUCAIA;HOMICIDIO DOLOSO;ARMA BRANCA;M;52;2019-01-20
PARAMBU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;43;2019-01-20
CASCAVEL;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2019-01-20
RUSSAS;HOMICIDIO DOLOSO;ARMA DE FOGO;M;54;2019-01-20
MISSAO VELHA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;32;2019-01-21
HORIZONTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;35;2019-01-21
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;40;2019-01-21
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;17;2019-01-21
CRATEUS;HOMICIDIO DOLOSO;OUTROS;F;47;2019-01-21
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;41;2019-01-22
PIQUET CARNEIRO;HOMICIDIO DOLOSO;ARMA DE FOGO;F;31;2019-01-22
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;F;33;2019-01-22
JUAZEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;34;2019-01-22
JUAZEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2019-01-22
CHOROZINHO;HOMICIDIO DOLOSO;ARMA DE FOGO;F;51;2019-01-22
CAUCAIA;HOMICIDIO DOLOSO;OUTROS;M;40;2019-01-23
MAURITI;HOMICIDIO DOLOSO;ARMA DE FOGO;M;32;2019-01-24
MORADA NOVA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;28;2019-01-24
SAO BENEDITO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2019-01-24
PEDRA BRANCA;HOMICIDIO DOLOSO;ARMA BRANCA;M;41;2019-01-24
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;36;2019-01-24
INDEPENDÊNCIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;30;2019-01-24
CHOROZINHO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;24;2019-01-25
GUARACIABA DO NORTE;HOMICIDIO DOLOSO;ARMA BRANCA;M;31;2019-01-25
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;23;2019-01-25
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2019-01-25
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;14;2019-01-25
CASCAVEL;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2019-01-25
GUARACIABA DO NORTE;HOMICIDIO DOLOSO;ARMA BRANCA;F;30;2019-01-25
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;44;2019-01-25
SANTA QUITERIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;27;2019-01-26
SANTA QUITERIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;31;2019-01-26
GUARAMIRANGA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;62;2019-01-26
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2019-01-26
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;30;2019-01-26
JARDIM;HOMICIDIO DOLOSO;ARMA DE FOGO;M;49;2019-01-26
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2019-01-26
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;27;2019-01-26
SANTANA DO CARIRI;HOMICIDIO DOLOSO;ARMA BRANCA;M;50;2019-01-27
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2019-01-27
POTIRETAMA;HOMICIDIO DOLOSO;ARMA BRANCA;M;49;2019-01-27
PALMACIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2019-01-27
CAUCAIA;HOMICIDIO DOLOSO;ARMA BRANCA;M;58;2019-01-27
DEP. IRAPUAN PINHEIRO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;25;2019-01-27
SAO GONCALO DO AMARANTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2019-01-27
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;34;2019-01-27
NOVO ORIENTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;35;2019-01-27
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2019-01-27
SABOEIRO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;32;2019-01-28
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2019-01-28
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;27;2019-01-28
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;43;2019-01-28
TRAIRI;HOMICIDIO DOLOSO;ARMA DE FOGO;M;31;2019-01-29
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;28;2019-01-29
SOBRAL;HOMICIDIO DOLOSO;ARMA DE FOGO;M;25;2019-01-30
SAO GONCALO DO AMARANTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2019-01-30
PENTECOSTE;HOMICIDIO DOLOSO;ARMA BRANCA;M;29;2019-01-30
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2019-01-31
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2019-01-31
